Name,Odds,Sprite
Holy Carp,0.10966823978396512,1
Gar Licbread,0.18,2
Eel Pie,0.5,3
Ray Parker Jr.,0.3135963229732151,1
Jack Dempsey,0.17,3
Red Herring,0.5,4
Holy Mackarel,0.0796682397839651,2
Marlin Brando,0.43,3
Jackson Pollock,0.2078331445593528,2
Scatman John,0.1,4
That's a Moray,0.5,4
The Old Billfish,0.37,1
Hoki Cokey,0.4421668554406471,1
Stephen Hawkfish,0.5,3
Joseph Marlin,0.05,2
Don't Stop Minnow,0.4996682397839651,4
Opah Winfrey,0.15163251423063198,2
Kung Fu Panga,0.0816325142306319,4
Captain Popeye Catalufa,0.5,3
Tailor Swift,0.5,1
Judi Tench,0.3,2
Pablo Escolar,0.15783314455935288,3
Kanyu West,0.1,4
Hell's Angelfish,0.5,1
Cisco Systems,0.2,2
Peach Cobbler,0.4664036770267848,4
Bass Drum,0.5,3
A Plaice in the Sun,0.1,5
Paul Rudd,0.2,5
Bad to the Bonefish,0.34,5
Oh My Cod,0.18,5
Betta Call Saul,0.35,5
Danio DeVito,0.3135963229732151,5
